Date,Open,High,Low,Close,Volume
11/7/2000,143.140625,144,142.5625,95.338341,5231300
11/8/2000,144.0625,144.0625,140.5625,93.224319,6123300
11/9/2000,140,141.21875,137.25,92.871994,10635300
11/10/2000,139,139.46875,136.53125,90.612877,8569500
11/13/2000,135.625,136.984375,133.015625,89.908226,17285300
11/14/2000,137.46875,139.625,137,92.270935,7668900
11/15/2000,139.0625,140.109375,137.75,92.561096,8837700
11/16/2000,138.578125,139.875,137.3125,91.110275,6684100
11/17/2000,137.3125,139,135.75,90.623238,6551100
11/20/2000,135.75,136.375,134.3125,89.327888,5458500
11/21/2000,134.875,136.1875,133.515625,89.783836,7684300
11/22/2000,134.34375,134.875,132.125,87.638733,5736900
11/24/2000,133.625,134.96875,133.625,89.431541,3411600
11/27/2000,136.46875,136.6875,135.3125,90.219078,5992000
11/28/2000,135.125,136.59375,133.640625,88.66468,5336100
11/29/2000,134.375,135.90625,133.265625,88.498833,6914100
11/30/2000,132.5,133.5,129.75,87.732025,11201600
12/1/2000,133.1875,134.0625,131,87.690559,7587200
12/4/2000,131.875,133.875,131.5,88.436668,6996600
12/5/2000,134.875,138.25,134.40625,91.338287,8883400
12/6/2000,137.78125,138.34375,135.03125,89.877121,12888000
12/7/2000,134.875,135.875,133.65625,88.643929,6529100
12/8/2000,137.0625,139.46875,133.875,88.851196,10276300
12/11/2000,137.375,139.5625,136.71875,91.939339,6405600
12/12/2000,138.1875,138.8125,137.375,91.545547,5022900
12/13/2000,139.25,139.40625,136.03125,90.291664,6070500
12/14/2000,135.875,136.5,134.03125,89.141365,7678400
12/15/2000,133.125,133.125,130.5625,87.12793,9065300
12/18/2000,132.0625,133.46875,131.765625,88.29216,7235400
12/19/2000,132.46875,134.96875,130.015625,86.493828,9616600
12/20/2000,128.625,128.9375,126.09375,83.98877,9994300
12/21/2000,126,128.859375,125.53125,84.570892,14331500
12/22/2000,129,131.109375,128.84375,87.10717,10182900
12/26/2000,130.84375,132.34375,130.28125,88.042679,4665300
